KODE,NAMA PROVINSI,BAHASA INDONESIA,BAHASA INGGRIS,MATEMATIKA,FISIKA,KIMIA,BIOLOGI,RERATA NILAI,Tahun,Status
28,BANGKA BELITUNG,-1.2999999999999972,-7.469999999999999,2.299999999999997,3.990000000000002,7.020000000000003,2.4200000000000017,2.019999999999996,2015-2017,N
29,GORONTALO,-5.439999999999998,-23.65,-19.339999999999996,-16.049999999999997,-5.290000000000006,-12.11,-12.449999999999996,2015-2017,N
30,BANTEN,-2.509999999999991,-13.810000000000002,-10.810000000000002,-11.82,-5.549999999999997,-9.57,-7.839999999999996,2015-2017,N
31,KEPULAUAN RIAU,-3.8599999999999994,-5.449999999999996,3.520000000000003,-4.0,0.6999999999999957,-6.449999999999996,-0.8800000000000026,2015-2017,N
32,SULAWESI BARAT,-5.530000000000001,-18.340000000000003,-20.790000000000003,-17.089999999999996,-2.3900000000000006,-13.880000000000003,-12.130000000000003,2015-2017,N
33,PAPUA BARAT,-14.630000000000003,-12.21,-22.04,-17.08,-14.379999999999995,-20.979999999999997,-15.82,2015-2017,N
34,KALIMANTAN UTARA,-1.1099999999999994,-9.590000000000003,0.9499999999999957,-2.530000000000001,9.61,2.970000000000006,1.3800000000000026,2015-2017,N
1,DKI JAKARTA,-2.519999999999996,-2.430000000000007,-14.080000000000005,-26.409999999999997,-11.670000000000002,-6.61999999999999,-8.489999999999995,2015-2018,N
2,JAWA BARAT,-6.209999999999994,-7.329999999999998,-18.990000000000002,-27.050000000000004,-11.469999999999999,-15.599999999999994,-12.499999999999993,2015-2018,N
3,JAWA TENGAH,-2.469999999999999,-2.1199999999999974,-6.690000000000005,-14.420000000000002,-0.020000000000003126,-1.8200000000000003,-2.5799999999999983,2015-2018,N
4,DI YOGYAKARTA,-3.049999999999997,1.6200000000000045,-3.450000000000003,-11.409999999999997,-1.5799999999999983,-1.4099999999999966,-1.0900000000000034,2015-2018,N
5,JAWA TIMUR,-3.299999999999997,-12.970000000000006,-24.379999999999995,-28.749999999999993,-9.190000000000005,-11.39,-12.719999999999999,2015-2018,N
6,ACEH,-16.96999999999999,-30.89,-38.28999999999999,-34.79,-29.78000000000001,-29.28,-29.340000000000003,2015-2018,N
7,SUMATERA UTARA,-18.150000000000006,-25.61,-36.94,-38.49,-31.090000000000003,-24.980000000000004,-27.660000000000004,2015-2018,N
8,SUMATERA BARAT,-5.969999999999999,-3.0799999999999983,-19.630000000000003,-31.560000000000002,-17.22999999999999,-15.970000000000006,-14.100000000000001,2015-2018,N
9,RIAU,-10.079999999999998,-16.980000000000004,-32.769999999999996,-36.86,-22.28,-21.07,-21.880000000000003,2015-2018,N
10,JAMBI,-7.690000000000012,-13.619999999999997,-19.360000000000003,-15.61,-12.340000000000003,-13.780000000000001,-12.450000000000003,2015-2018,N
11,SUMATERA SELATAN,-12.61,-20.14,-35.5,-35.34,-21.180000000000007,-20.35,-22.820000000000007,2015-2018,N
12,LAMPUNG,-6.309999999999988,-12.739999999999995,-17.130000000000003,-10.61,-4.329999999999998,-15.920000000000002,-9.21,2015-2018,N
13,KALIMANTAN BARAT,-9.569999999999993,-18.450000000000003,-20.720000000000002,-16.509999999999998,-14.0,-9.850000000000001,-12.93,2015-2018,N
14,KALIMANTAN TENGAH,-8.88000000000001,-8.68,-13.45,-9.579999999999998,-5.689999999999998,-6.359999999999999,-6.920000000000002,2015-2018,N
15,KALIMANTAN SELATAN,-3.6299999999999955,-15.680000000000007,-31.0,-28.849999999999994,-6.239999999999995,-10.590000000000003,-13.970000000000006,2015-2018,N
16,KALIMANTAN TIMUR,-4.390000000000001,-6.759999999999991,-12.649999999999999,-14.0,-1.9399999999999977,-2.979999999999997,-4.839999999999996,2015-2018,N
