,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Fisika,Kimia,Biologi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
26410,239,204001,"SMA NEGERI 1 BOGOR, KOTA BOGOR",20220342,N,257,86.32,82.98,77.63,71.08,81.46,74.05,0.0,2,4,1,2017,JAWA BARAT,KOTA BOGOR
28112,319,312221,SMA TARUNA NUSANTARA MERTOYUDAN,20307641,S,308,86.32,80.68,77.33,77.09,81.17,78.06,0.0,3,12,221,2017,JAWA TENGAH,KABUPATEN MAGELANG
36640,304,2017008,SMAN 1 MAGINTI,40400771,N,51,86.27,79.57,64.02,75.63,64.42,61.4,0.0,20,17,8,2017,SULAWESI TENGGARA,KABUPATEN MUNA BARAT
28924,123,404037,SMA NEGERI 1 SLEMAN,20401124,N,137,86.26,76.26,70.11,65.0,77.09,73.31,0.0,4,4,37,2017,DI YOGYAKARTA,KABUPATEN SLEMAN
28805,4,401004,SMA NEGERI 9 YOGYAKARTA,20403162,N,144,86.26,77.67,67.15,65.97,70.44,72.45,0.0,4,1,4,2017,DI YOGYAKARTA,KOTA YOGYAKARTA
27796,3,301003,SMA NEGERI 3 SEMARANG,20328895,N,448,86.25,80.72,77.85,74.14,80.4,78.39,0.0,3,1,3,2017,JAWA TENGAH,KOTA SEMARANG
30021,1047,527038,SMA NEGERI 1 KEPANJEN,20517730,N,248,86.25,75.68,60.24,59.5,70.27,72.87,0.0,5,27,38,2017,JAWA TIMUR,KABUPATEN MALANG
28174,381,315006,SMA NEGERI 1 WONOSOBO,20306807,N,225,86.24,73.32,70.63,67.22,81.07,76.54,0.0,3,15,6,2017,JAWA TENGAH,KABUPATEN WONOSOBO
26022,318,104104,SMA LABSCHOOL KEBAYORAN,20107313,S,149,86.24,86.98,82.6,75.07,86.99,82.31,0.0,1,4,104,2017,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN
25822,118,102096,SMA KRISTEN 6 BPK PENABUR,20110335,S,60,86.23,83.6,90.08,78.59,87.05,80.44,0.0,1,2,96,2017,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA UTARA
25987,283,104054,SMA NEGERI 26,20102218,N,108,86.22,84.98,72.82,64.15,82.5,74.2,0.0,1,4,54,2017,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN
28955,154,405002,SMA 1 WONOSARI,20402126,N,121,86.21,76.71,75.72,71.33,74.31,76.07,0.0,4,5,2,2017,DI YOGYAKARTA,KABUPATEN GUNUNGKIDUL
